tweet,airlines,airlines_predicted
"United worst airline ever! Staff is nasty, wifi down bags are delayed due to weather?? And now the belt is broken. Selling UAL stock in AM",['United Airlines'],"['United Airlines', 'UAL']"
@AmericanAir yes but you did manage to lose two of our bags. Horrendous airline.,['American Airlines'],['American Airlines']
"Virgin America mood lighting on point🙌 Reclining my seat, kickin up my feet💤",['Virgin America'],['Virgin America']
@USAirways Your exchange/credit policies are worthless and shadier than the White House. Dissatisfied to the nines right now.,['US Airways'],['US Airways']
Southwest Air in my 30 years of flying I have never been so pissed off.  To many incidents for just one flight.,['Southwest Airlines'],['Southwest Airlines']
American Air Any reason why my 1463 flight to Chicago is boarding and I still don't have a seat assignment? Seriously?,['American Airlines'],['American Airlines']
USAirways had to Cancelled Flight 4 of my flights because my versace biceps wouldn't stow completely under the seat in front of me.,['US Airways'],['US Airways']
"AmericanAir You found my lost luggage, won't bring it to me until tomorrow. Next day if the weather isn't nicer. Terrible service",['American Airlines'],['American Airlines']
American Airlines #AmericanAirlines says most bags left in Miami have been returned following mechanical glitch &gt;&gt; http://t.co/Ib8kyjBCJM,['American Airlines'],['American Airlines']
"@united in the process of purchasing ticket, when prices changed. unbelievable. #RipOffs #PriceDiscrimination",['United Airlines'],['United Airlines']
JetBlue Airways flight from DCA to BOS has no heat #OhNo #BundleUp #Leastthebeverageswillbecold,['JetBlue Airways'],['JetBlue Airways']
United Airlines allowing passengers on my flight to block exit of plane,['United Airlines'],['United Airlines']
United Airlines what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?,['United Airlines'],['United Airlines']
"American Air I am running out of battery you have my chargers,clothes,coat,contact lenses, need to be in mtg tom need help #pathetic service",['American Airlines'],['American Airlines']
US Airways I ask for reimbursement maybe miles added to my account for my inconvenience and for the money that I had to spend,['US Airways'],['US Airways']
JetBlue Airways Are there really no flights from the Bay Area to Chicago anymore? Lame. So lame.,['JetBlue Airways'],['JetBlue Airways']
"&lt;3 &lt;3 RT @SouthwestAir! @danihampton Sorry to hear about the WiFi connection, Dani. Please DM us your conf # so we can help you. Thanks!",['Southwest Airlines'],['Southwest Airlines']
"@SouthwestAir extremely frustrating travel experience in Denver! Instead of landing in SEA on Saturday, now it's Monday afternoon!",['Southwest Airlines'],['Southwest Airlines']
"@SouthwestAir ""Will my luggage be on that flight?"" ""No"" ""Y not"" ""bc ur on that flight n it won't end up where ur goin http://t.co/6Zj6L2ZTua",['Southwest Airlines'],['Southwest Airlines']
SouthwestAir went to purchase a flight that I began processing not even 4 minutes earlier and the points had gone up - any help?,['Southwest Airlines'],['Southwest Airlines']
@AmericanAir @Rizzilient I booked tickets using miles and need to change the dates.  Have been trying to get to an advantage rep 4 two days,['American Airlines'],['American Airlines']
"@united 3586 from IAD to BUF.  Incredibly loud, and like a third world 70s inner city metro bus.  #lowstandards http://t.co/m67WnBglXQ",['United Airlines'],['United Airlines']
"@united Additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight.",['United Airlines'],['United Airlines']
United trying to book flight w/miles. Was on hold for 50m before I gave up. Need to get 6 on same flight using two diff # and pay 4 1tix,['United Airlines'],['United Airlines']
Jet Blue Jan 5? That's not summer http://t.co/TpzhjX7Hbt,['JetBlue Airways'],['JetBlue']
US Air did a pre schooler develop your app? The thing crashes every single time.,['US Airways'],['US Airways']
United Airlines compensate us for new clothes bet you won't,['United Airlines'],['United Airlines']
@united and pick it up and just bring it on the shuttle. When I went to double check on that they said it was still on the concourse,['United Airlines'],['United Airlines']
USAirways trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? How? Thanks,['US Airways'],['US Airways']
@USAirways I booked a flight yesterday but didnt receive an email confirmation and I my dividends number isn't registering. Please help.,['US Airways'],['US Airways']
@united now 1558 from IAH to EWR has broken entertainment system and no WiFi despite info on app: http://t.co/FY6f9rZB9k,['United Airlines'],['United Airlines']
Southwest Air nbd I was able to figure out a workaround. Just wanted to help. Got my bags less than 24 hours Late Flightr. Muchas grassy ass.,['Southwest Airlines'],['Southwest Airlines']
"United #1007 Houston-Bogota with an engine problem, mechanics trying to ""fix"" the problem, safety first, better to change the plane",['United Airlines'],['United Airlines']
United Air Please consider letting flyers with no overhead bin items board/deplane first (after first class). Make sense?,['United Airlines'],['United Airlines']
"JetBlue yes of course, before I left the airport. I kept looking but claim is still open.",['JetBlue Airways'],['JetBlue']
AmericanAir @cnnbrk they didn't address the assult or drinks spilled on her  the drunk passenger had to have a wheelchair to get off plane,['American Airlines'],['American Airlines']
AmericanAir Why not sell MCE during post door-close shuffle in same way u sell drinks/snacks? People on my flight self-upgraded w/o paying.,['American Airlines'],['American Airlines']
United u guys did it again changed ages and double booked seats so I had to I've even though I have platinum and the other person none,['United Airlines'],['United Airlines']
American Air most disgusting chicken entree I've ever seen.  Your standards have seriously nosedived. #NewAmerican http://t.co/56eSsfOOwt,['American Airlines'],['American Airlines']
Southwest Airlines waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕,['Southwest Airlines'],['Southwest Airlines']
United Airlines Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW,['United Airlines'],['United Airlines']
JetBlue Airways flight 577  fll to sfo. No speed line even though I paid for it. No coffee on flight. and my non stop now has an unscheduled stop,['JetBlue Airways'],['JetBlue Airways']
American Air my flt is at 7a tom. I have now rec'd notification that I'm going out from some other airport,['American Airlines'],['American Airlines']
US Airways so you're not honoring miles with @united that were traveled last year?,"['United Airlines', 'US Airways']","['US Airways', 'United Airlines']"
American Airlines narrowly made standby...lots of snags this trip!,['American Airlines'],['American Airlines']
@SouthwestAir lets chat about flights to and from BWI and the Carolina area... Can a girl get break? I've had to resort to USAir 😖 2 a day?!,['Southwest Airlines'],"['US Airways', 'Southwest Airlines']"
USAirways @AmericanAir stranded in cold Texas and getting sick because you overbooked the flight and gave my seat away. #gooutofbusiness,"['American Airlines', 'US Airways']","['US Airways', 'American Airlines']"
@SouthwestAir that's bull. Once you add a fare to the cart you should be locked in. I made it all the way to PayPal.,['Southwest Airlines'],['Southwest Airlines']
USAirways thanks for overFlight Booking Problems first class and automatically downgrading my upgrade 3 min before boarding. #ffstatusdontmatter #thenewaa,['US Airways'],['American Airlines']
SouthwestAir couldn't be bothered to help with my lost my luggage. Not a single helpful employee owner to be found in BWI.,['Southwest Airlines'],['Southwest Airlines']
American Airlines @tcunningham10 please call us back to rebook. 7403607771 we can't through!!!!! We need to get to columbus!!!!,['American Airlines'],['American Airlines']
American Air I really wanted to sign up for your airline credit card but your absurd $400 change fee to switch my flight made me think twice,['American Airlines'],['American Airlines']
"@USAirways had a horrible experience flying from Montego Bay to Philadelphia on 2/11. $125 2check a golf bag, constant selling in-flight",['US Airways'],['US Airways']
US Airways the American Eagle plane you're using for CLT to RDU is disgusting! You should be ashamed! #disgusting #ew http://t.co/B4xhiRuGzV,['US Airways'],"['US Airways', 'American Eagle']"
"@SouthwestAir I, along with other passengers repeatedly asked Southwest personnel what was taking so long, where was our luggage.",['Southwest Airlines'],['Southwest Airlines']
Virgin America seats in Row 8 don't recline should mention that on your website #soreback,['Virgin America'],['Virgin America']
SouthwestAir Since when did it become ok for a passenger to save 3 rows of seats for people with a Late Flightr boarding position?how rude!,['Southwest Airlines'],['Southwest Airlines']
Southwest Airlines I would like to ask that his bags be picked up at PIT &amp; taken to his hotel by the airport. Will someone contact me,['Southwest Airlines'],['Southwest Airlines']
JetBlue Airways you really should be more proactive with passengers when you know the entertainment system isn't working. At least let me get a mag,['JetBlue Airways'],['JetBlue Airways']
"United Airlines $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice",['United Airlines'],['United Airlines']
@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...,['United Airlines'],['United Airlines']
"@united is the biggest joke of a company,I will never fly with them again! 3 days now waiting for my bag, they don't even know where it is!",['United Airlines'],['United Airlines']
SouthwestAir My luggage has still not been found. Luggage is not scanned until final destination. So no way of knowing where it is!,['Southwest Airlines'],['Southwest Airlines']
"United Air tried other flight options as per weblink, non available for next 2 days, frustrating #notgoodenough #poorservice",['United Airlines'],['United Airlines']
"@SouthwestAir why would I want to when the last time I did, you screwed me out of my early boarding that I PAID FOR.",['Southwest Airlines'],['Southwest Airlines']
American Air this might look good but the pita is inedible. Last year delicious shrimp cocktail. This year garbage http://t.co/Sotl8XQsrp,['American Airlines'],['American Airlines']
AmericanAir it wasn't really about the delay. It was more about being told the engine needed to be troubleshot.  Makes a person paranoid.,['American Airlines'],['American Airlines']
United Airlines I was. But I have given up.,['United Airlines'],['United Airlines']
@USAirways waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far,['US Airways'],['US Airways']
@USAirways Waiting for my luggage on flight 1923. Is there a delay?,['US Airways'],['US Airways']
Southwest Air I left my iPad on my flight 1831 from ERW to DEN. I opened claim 442998. It has so many memories on it. Plz help get it back.,['Southwest Airlines'],['Southwest Airlines']
USAirways any updates on flight 5202 from ORF to PHL no one at gate...  ;(,['US Airways'],['US Airways']
US Air US Airways website. So you double charge people when they book flights now? Apparently you have but I've never been booked twice,['US Airways'],['US Airways']
AmericanAir misplaced my bag 36 hr ago and can't tell me where it is. I've lost $1000 of stuff :( #AmericanAirlines #unamericanairlines,['American Airlines'],['American Airlines']
@USAirways really???  NOT ONE OF THEM CAN BOOK DIVIDEND MILES TRAVEL - Literally on hold now since 9:50pm - it's 11:30pm #NoExcuses,['US Airways'],['US Airways']
"VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",['Virgin America'],['Virgin America']
"@USAirways if a passenger is to large to put down the armrest and now is using part of my seat, what is my recourse?  #nothappy",['US Airways'],['US Airways']
"@united your website is fucked up. Now instead of a $416 flight I should’ve had yesterday, it’s $514 today. Thanks.",['United Airlines'],['United Airlines']
AmericanAir this delayed bag was for my friend Lisa Pafe. She got her bag after 3 days in Costa Rica. Issue no updates on your system.,['American Airlines'],['American Airlines']
@USAirways: I experienced what defines customer service on #FLT1999. A flight attendant willing to follow up with a passenger on bag charges,['US Airways'],['US Airways']
@United give me a direct number I can call regarding my lost baggage immediately.,['United Airlines'],['United Airlines']
United Airlines not my luggage,['United Airlines'],['United Airlines']
@USAirways @CLTDouglas slowest baggage claim ever,['US Airways'],['US Airways']
@united @staralliance how can I book reward travel in August?? Everything is blacked out.,['United Airlines'],"['United Airlines', 'Star Alliance']"
